,val_loss,val_acc,train_loss,train_acc
0,0.05613577492106706,0.9832,0.2569249282519023,0.9208166666984559
1,0.03689448195621371,0.9869,0.08847021594146888,0.97375
2,0.03459053908572532,0.989,0.0660540113935868,0.9809000000317891
3,0.03134713646941818,0.9892,0.05213547407388687,0.9842833333333333
4,0.03544029280913528,0.989,0.04409570917313298,0.9868166666984558
5,0.026695967565628233,0.9907,0.041685769162078695,0.9876166666666667
6,0.025507050550775602,0.9914,0.037467963593949875,0.9885
7,0.03180411836679559,0.9892,0.034867539185782274,0.9890666666984558
8,0.02798672924685234,0.9916,0.030460170856118202,0.9907833333333333
9,0.029046356005331474,0.9906,0.029601453810185193,0.9906666666348776
10,0.02790060409225989,0.9896,0.0293829000060757,0.9913333333015442
11,0.02912023290622601,0.9912,0.025771767103796205,0.9916999999682109
12,0.024263264292485837,0.992,0.024722000337019562,0.9920833333333333
13,0.02696710119539266,0.9922,0.023843058990004162,0.9927666666666667
14,0.02821866755173396,0.9918,0.02326459682142983,0.9927333333333334
15,0.027310903510767457,0.9917,0.024253702481711905,0.99235
16,0.02463046590889135,0.9925,0.023667748595463733,0.99285
17,0.026495176372786408,0.9925,0.02112155740118275,0.9933833333015442
18,0.02976385611845635,0.9912,0.020525005562168856,0.9937166666984558
19,0.030156982771078856,0.9917,0.020211566202466686,0.9932333333015442
20,0.027448005294926223,0.9915,0.019514470222902796,0.9938333333333333
21,0.029374482747093863,0.9921,0.01898048268985003,0.9939166666348775
22,0.03024019968155735,0.9919,0.020020457082490128,0.9937666666666667
23,0.03345284382243956,0.9915,0.018123556854513785,0.9943999999682108
24,0.02754884459787627,0.9926,0.01940664231318903,0.9942833333333333
25,0.026310239529669342,0.9917,0.018528573433992765,0.9944333333015442
26,0.02700055232963905,0.9921,0.018342265559608738,0.9943333333015442
27,0.03125769755258518,0.9925,0.017163021485103916,0.9947
28,0.029603429599017794,0.9915,0.017709196129596483,0.9942666666666666
29,0.037419085858557466,0.9913,0.015361906184876959,0.9950333333015442
30,0.03942222445060108,0.9914,0.017297438359213994,0.9944
31,0.030245521295212574,0.9919,0.01609324730951339,0.9947833333333334
32,0.029236518697346493,0.9936,0.01554547540214844,0.9946666666666667
33,0.030044586177262703,0.993,0.015062290158029646,0.99525
34,0.035095794306226,0.9922,0.014667644019968187,0.9953333333333333
35,0.033507046605802705,0.9915,0.017049503662867938,0.9945666666666667
36,0.027411854822654458,0.9924,0.0154749789062577,0.9952833333333333
